Attack,AttackIntensity,Distance,Stations,PayloadSize,LoadFactor,MCS,ChannelWidth,GI,Throughput,TxPackets,RxPackets,LostPackets,PacketLossRate,Delay,Jitter
dos,extreme,20,10,700,1,11,20,3200,59.6842,7360496,106579,5,6.79302e-05,5,0
dos,extreme,20,10,700,1,11,80,800,294.033,8215166,525059,5,6.0863e-05,5,0
dos,extreme,20,10,700,1,11,80,3200,249.931,8054326,446305,5,6.20784e-05,5,0
dos,extreme,20,10,700,1,11,160,800,588.045,9287446,1050081,5,5.38361e-05,5,0
dos,extreme,20,10,700,1,11,160,3200,509.957,8965786,910638,6,6.69211e-05,5,0
dos,extreme,1,20,700,1,3,20,800,29.7405,7204316,53108,7135404,99.0435,3312,165
dos,extreme,1,20,700,1,3,20,3200,25.2767,7195096,45137,7132704,99.1329,3220,179
dos,extreme,1,20,700,1,3,80,800,115.785,7400216,206759,7153279,96.6631,5834,31
dos,extreme,1,20,700,1,3,80,3200,99.9757,7361616,178528,7147200,97.0874,6466,41
dos,extreme,1,20,700,1,3,160,800,208.872,7657576,372986,7215844,94.2314,3185,18
dos,extreme,1,20,700,1,3,160,3200,182.731,7580356,326306,7193918,94.9021,3691,18
dos,extreme,1,20,700,1,7,20,800,72.1745,7296496,128883,7138149,97.8298,5053,64
dos,extreme,1,20,700,1,7,20,3200,61.875,7273456,110491,7136835,98.1216,4343,67
dos,extreme,1,20,700,1,7,80,800,249.056,7786256,444743,7261743,93.2636,2709,3
dos,extreme,1,20,700,1,7,80,3200,219.29,7689736,391589,7228510,94.0021,3099,16
dos,extreme,1,20,700,1,7,160,800,396.313,8429636,707702,7644714,90.6885,1514,0
dos,extreme,1,20,700,1,7,160,3200,357.377,8236616,638173,7525633,91.368,1761,0
dos,extreme,1,20,700,1,11,20,800,115.195,7398896,205705,7153088,96.6778,5873,31
dos,extreme,1,20,700,1,11,20,3200,99.4941,7360496,177668,7147072,97.1004,6484,41
dos,extreme,1,20,700,1,11,80,800,354.742,8215176,633467,7504130,91.3447,1787,0
dos,extreme,1,20,700,1,11,80,3200,317.303,8054316,566613,7419904,92.1233,2056,0
dos,extreme,1,20,700,1,11,160,800,523.907,9287476,935548,8231044,88.6252,943,0
dos,extreme,1,20,700,1,11,160,3200,480.954,8965796,858847,8002431,89.2551,1096,0
dos,extreme,20,20,700,1,3,20,800,29.7405,7204316,53108,7135404,99.0435,3312,165
dos,extreme,20,20,700,1,3,20,3200,25.2767,7195096,45137,7132704,99.1329,3220,179
dos,extreme,20,20,700,1,3,80,800,115.785,7400216,206759,7153279,96.6631,5834,31
